Rstar_over_a,Rring_over_a,N,L,a,C3_raw,C4_raw,C3_int,C4_int,ratio_int
0.05,0.8,64,3.0,1.0,660.2287484617268,643130.4215911881,60.111078644489254,3516.4564132431647,58.499306492906186
0.1,0.8,64,3.0,1.0,246.06657801158596,53172.12085248663,32.24744904068363,-597.1307201946116,-18.517145943583536
0.2,0.8,64,3.0,1.0,63.43272370548493,1518.3208343023869,14.812059028505235,44.21719233833442,2.9852157794699674
0.3,0.8,64,3.0,1.0,29.27231492433378,210.30528819359566,9.134876784553725,18.318313495451534,2.0053158819203993
0.05,1.0,64,3.0,1.0,421.98077842562793,408368.0531112654,39.110701078259275,2197.7893150314317,56.194065931820674
0.1,1.0,64,3.0,1.0,159.26847454385953,34233.040095122335,21.43275723575012,-406.455415268253,-18.964214953654214
0.2,1.0,64,3.0,1.0,42.34327772683784,970.726411226979,10.29373314583625,26.177583674618745,2.5430602584843007
0.3,1.0,64,3.0,1.0,20.573257683449842,139.79454815060802,6.68878554807835,12.530785157555478,1.8734021396687626
