n,R_star,R_ring,L,N,C3,C4,ratio
0.5,0.3,0.75,6.0,128,-12.624420667660571,-904.3118470457206,71.63194817820488
1.0,0.3,0.75,6.0,128,-14.115595187822423,-1607.7480812322474,113.89870989069293
1.5,0.3,0.75,6.0,128,-15.215993620618384,-3157.020229477722,207.48038598017098
