n,C3_baseline,C4_baseline,C3_box6,C4_box6,C3_N128,C4_N128,C3_ring075_box6_N128,C4_ring075_box6_N128,dC3_box6,dC4_box6,dC3_N128,dC4_N128,dC3_ring075_box6_N128,dC4_ring075_box6_N128
0.5,-4.012945003388831,-119.4247798263772,-4.115365729945776,-122.53453932970176,-4.030815301106382,-120.14246879966916,-12.624420667660573,-904.3118470457206,0.025522584154643025,0.02603948282630792,0.004453162877253567,0.006009548222197695,2.145924167163908,6.572229552027915
1.0,-4.482995405936888,-212.2583887275488,-4.634214004501819,-221.98266439785715,-4.499920188212308,-212.9913128946234,-14.115595187822423,-1607.7480812322474,0.0337315979321929,0.04581338682821274,0.0037753289358731508,0.003452980923243363,2.1486972235414203,6.5744854696693515
1.5,-4.8411122246024085,-417.63669124649,-5.007468278452251,-428.0986479057211,-4.858563799972133,-419.575830147132,-15.215993620618384,-3157.020229477722,0.03436318889787869,0.02505037722621087,0.0036048689970532345,0.004643123895207646,2.14307806030422,6.5592501704177195
