N,L,a,eps,C3,C4,ratio
96,3.0,1.0,0.1,123.71207302089633,5385.386472413628,43.53161612209002
96,3.0,1.0,0.05,569.5780064943948,224255.23877328064,393.72173120502595
96,3.0,1.0,0.02,2025.1652638831122,3625941.2986812484,1790.4421744469194
