n,R_star,R_ring,L,N,C3,C4,ratio
0.5,0.3,0.75,6.0,128,154.16399678113373,11026.75064280274,71.52610773614926
1.0,0.3,0.75,6.0,128,172.34550052482854,19604.009295225955,113.74830927136244
1.5,0.3,0.75,6.0,128,185.76344910031403,38496.029522575314,207.23145327575767
