n,R_star,R_ring,L,N,C3,C4,ratio
0.5,0.3,0.6,5.0,96,-4.012945003388831,-119.4247798263772,29.7598845051517
1.0,0.3,0.6,5.0,96,-4.4829954059368875,-212.2583887275488,47.34744729973453
1.5,0.3,0.6,5.0,96,-4.8411122246024085,-417.63669124649,86.26874814512067
