n,R_star,R_ring,L,N,C3,C4,ratio
0.5,0.3,0.6,5.0,128,-4.030815301106382,-120.14246879966916,29.80599700678231
1.0,0.3,0.6,5.0,128,-4.499920188212308,-212.9913128946234,47.332242347889036
1.5,0.3,0.6,5.0,128,-4.858563799972133,-419.57583014713197,86.35799537088275
