x,deltaK_shape,deltaz1_shape
1.3354515629298973e-07,6.708894078056379e-40,9.777126594245889e-48
1.448118227674533e-07,1.0907022880949912e-39,1.7236235041882146e-47
1.5702901247293774e-07,1.7732154813305274e-39,3.0386003119879516e-47
1.7027691722258978e-07,2.882815215422402e-39,5.356791584571766e-47
1.8464249428955425e-07,4.6867533460006517e-39,9.443563885516726e-47
2.0022003718155845e-07,7.619516116615096e-39,1.6648192812683522e-46
2.1711179456945052e-07,1.2387472043590828e-38,2.9349335514727996e-46
2.3542864143224203e-07,2.0139003822301197e-38,5.174036054401973e-46
2.5529080682395163e-07,3.274110126337454e-38,9.12138170647023e-46
2.7682866303920666e-07,5.322903387105951e-38,1.6080213540077125e-45
3.0018358135755923e-07,8.653740866492059e-38,2.834803729397613e-45
3.255088599835056e-07,1.4068869171589683e-37,4.9975158649213124e-45
3.52970730273065e-07,2.2872545401494366e-37,8.810191939571365e-45
3.827494478516315e-07,3.7185173157782586e-37,1.5531613026356067e-44
4.1504047578504725e-07,6.045401102025371e-37,2.7380902314394093e-44
4.500557675700497e-07,9.828345988043356e-37,4.827018390810039e-44
4.880251583654434e-07,1.597849075170674e-36,8.50961975873577e-44
5.291978735958437e-07,2.597712464836167e-36,1.5001730512267137e-43
5.738441648302393e-07,4.2232462473952484e-36,2.644676576567225e-43
6.222570836730232e-07,6.865967377609371e-36,4.6623382958599226e-43
6.747544053110686e-07,1.116238688608255e-35,8.219303192685013e-43
7.316807143427192e-07,1.8147316404221519e-35,1.448992790951484e-42
7.934096665797492e-07,2.9503107187418825e-35,2.5544502821727533e-42
8.603464416684509e-07,4.7964851995390376e-35,4.503277296041631e-42
9.329304026284696e-07,7.797914456748579e-35,7.938892708840648e-42
1.011637979766207e-06,1.267750619643897e-34,1.3995589070231877e-41
1.096985797892384e-06,2.0610532086968663e-34,2.4673027358642316e-41
1.1895340673703207e-06,3.3507697353122986e-34,4.349643934595947e-41
1.289890261253308e-06,5.447534298749573e-34,7.6680508189461e-41
1.3987131026472386e-06,8.85636224818784e-34,1.3518119095776468e-40
1.5167168884709241e-06,1.4398285505511547e-33,2.3831290743871537e-40
