n,R_star,R_ring,L,N,C3,C4,ratio
0.5,0.3,0.6,6.0,96,-4.1153657299457755,-122.53453932970176,29.774884511009496
1.0,0.3,0.6,6.0,96,-4.634214004501819,-221.98266439785715,47.90082291888469
1.5,0.3,0.6,6.0,96,-5.007468278452251,-428.0986479057211,85.49203391819415
